[2025-11-10--19-03-08 INFO actix_server::builder] starting 5 workers
[2025-11-10--19-03-08 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-11-10--19-03-08 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-11-10--19-03-08 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-11-10--19-03-09 INFO txtx::svm::deploy_program] Program Created - Program SubsfvX3BEXk4JpzwFXUAL5H51rZtyooPSTprzjGeTz has been deployed
[2025-11-10--19-03-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47532.
[2025-11-10--19-03-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47534.
[2025-11-10--19-03-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45644.
[2025-11-10--19-04-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52896.
[2025-11-10--19-04-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52906.
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 6734 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.002144
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.000173
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/b882b236833a8b2c.css HTTP/1.1" 200 24912 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.003631
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-3e4e71dfd9e3c4e1.js HTTP/1.1" 200 4680 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.000793
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/4bd1b696-cc729d47eba2cee4.js HTTP/1.1" 200 55434 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.006170
[2025-11-10--19-04-51 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/5964-bac2686a39d63815.js HTTP/1.1" 200 44320 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.006054
